family,alpha,group_count,min_group_mean_dPSNR,min_group_mean_group,min_group_mean_bin,min_group_hard_bottom25_dPSNR,min_group_hard_group,min_group_hard_bin,min_group_easy_top25_dPSNR,min_group_easy_group,min_group_easy_bin,min_group_positive_ratio,min_group_positive_group,min_group_positive_bin,worst_group_worst_dPSNR,worst_group_worst_group,worst_group_worst_bin,max_group_severe_per_600,max_group_severe_group,max_group_severe_bin,expert_id,expert_name
expert,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,wdmamba,WDMamba
expert,0.125,58,0.5402135213216146,Expert-A0_diff_abs_q4,q1,0.5919601852829391,Expert-A0_diff_abs_q4,q1,0.412999642861856,Expert-A0_diff_signed_q4,q3,0.9666666666666667,edge_density_q4,q1,-0.2539710998535156,A0-PSNR_q4,q4,8.0,residual_cosine_q4,q1,wdmamba,WDMamba
expert,0.25,58,0.9287535603841146,Expert-A0_diff_abs_q4,q1,1.121526254189981,Expert-A0_diff_abs_q4,q1,0.6105135324839,Expert-A0_diff_signed_q4,q3,0.96,A0-PSNR_q4,q4,-0.7768211364746094,A0-PSNR_q4,q3,20.0,edge_density_q4,q1,wdmamba,WDMamba
expert,0.375,58,1.1246026357014973,Expert-A0_diff_abs_q4,q1,1.5527961318557326,Expert-A0_diff_abs_q4,q1,0.5129845077927048,haze_density_p90_q4,q1,0.9,Expert-A0_diff_abs_q4,q1,-1.509063720703125,A0-PSNR_q4,q3,40.0,A0-PSNR_q4,q4,wdmamba,WDMamba
expert,0.5,58,1.1078830210367838,Expert-A0_diff_abs_q4,q1,1.8475866575498838,Expert-A0_diff_abs_q4,q1,0.12727489986935178,haze_density_p90_q4,q1,0.8133333333333334,A0-PSNR_q4,q4,-2.3457794189453125,A0-PSNR_q4,q3,84.00000000000001,Expert-A0_diff_abs_q4,q1,wdmamba,WDMamba
expert,0.75,58,0.32387430826822916,A0-PSNR_q4,q4,1.800233995592272,A0-PSNR_q4,q4,-1.1715522972313133,haze_density_p90_q4,q1,0.5533333333333333,A0-PSNR_q4,q4,-4.197170257568359,A0-PSNR_q4,q4,244.0,A0-PSNR_q4,q4,wdmamba,WDMamba
expert,1.0,58,-1.0485372416178385,A0-PSNR_q4,q4,0.6285760209367082,A0-PSNR_q4,q4,-2.7327518978634395,haze_density_p90_q4,q1,0.28,A0-PSNR_q4,q4,-6.3777618408203125,A0-PSNR_q4,q4,400.0,A0-PSNR_q4,q4,wdmamba,WDMamba
fulludp,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,wdmamba,WDMamba
fulludp,0.125,58,-0.15137781778971354,residual_cosine_q4,q1,-0.16101971188107053,residual_cosine_q4,q1,-0.13998083166173986,expert_fulludp_disagreement_q4,q4,0.12,residual_cosine_q4,q1,-0.8958015441894531,A0-PSNR_q4,q4,219.99999999999997,residual_cosine_q4,q1,wdmamba,WDMamba
fulludp,0.25,58,-0.34727957407633464,residual_cosine_q4,q1,-0.3351564665098448,residual_cosine_q4,q1,-0.34891458459802577,expert_fulludp_disagreement_q4,q4,0.06666666666666667,residual_cosine_q4,q1,-1.9697303771972656,A0-PSNR_q4,q4,380.0,residual_cosine_q4,q1,wdmamba,WDMamba
fulludp,0.375,58,-0.5802028020222981,residual_cosine_q4,q1,-0.5200440174824482,residual_cosine_q4,q1,-0.618516664247255,expert_fulludp_disagreement_q4,q4,0.06,residual_cosine_q4,q1,-3.2007598876953125,A0-PSNR_q4,q4,472.0,residual_cosine_q4,q1,wdmamba,WDMamba
fulludp,0.5,58,-0.8431226348876953,residual_cosine_q4,q1,-0.7136161391799515,residual_cosine_q4,q1,-0.9379194104993666,expert_fulludp_disagreement_q4,q4,0.04666666666666667,residual_cosine_q4,q1,-4.4059295654296875,A0-PSNR_q4,q4,540.0,residual_cosine_q4,q1,wdmamba,WDMamba
fulludp,0.75,58,-1.4337408192952474,residual_cosine_q4,q1,-1.1198927389608848,residual_cosine_q4,q1,-1.6797288430703652,expert_fulludp_disagreement_q4,q4,0.04,residual_cosine_q4,q1,-6.58233642578125,A0-PSNR_q4,q4,568.0,residual_cosine_q4,q1,wdmamba,WDMamba
fulludp,1.0,58,-2.0749603271484376,residual_cosine_q4,q1,-1.5424311354353621,residual_cosine_q4,q1,-2.529618237469647,residual_cosine_q4,q1,0.02666666666666667,residual_cosine_q4,q1,-8.424148559570312,A0-PSNR_q4,q4,580.0,residual_cosine_q4,q1,wdmamba,WDMamba
expert,0.0,58,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,0.0,A0-PSNR_q4,q1,fsudp,FSNet+UDP
expert,0.125,58,0.4751840337117513,Expert-A0_diff_abs_q4,q2,0.20198889036436338,Expert-A0_diff_abs_q4,q1,0.49812731061662946,haze_density_p90_q4,q3,0.9507042253521126,haze_density_p90_q4,q3,-0.3823966979980469,A0-PSNR_q4,q3,4.225352112676056,haze_density_p90_q4,q3,fsudp,FSNet+UDP
