split,image_id,a0_psnr,a1_delta_psnr,a2_delta_psnr,a3_delta_psnr,expected_additive_delta_psnr,interaction_delta_psnr,a1_delta_ssim,a2_delta_ssim,a3_delta_ssim,input_gt_l1,a0_gt_l1,label_texture_high_abs_mean,edge_density
trainfit128,1000_0.74_1.6.png,36.9222412109375,0.5196685791015625,0.09484481811523438,0.02878570556640625,0.6145133972167969,-0.5857276916503906,2.4974346160888672e-05,1.430511474609375e-05,6.556510925292969e-06,0.1719251573085785,0.011689144186675549,0.020444177091121674,0.020840922370553017
trainfit128,1001_0.89_1.66.png,35.00823211669922,-0.2587394714355469,-0.051494598388671875,-0.20573043823242188,-0.31023406982421875,0.10450363159179688,-0.0007211565971374512,0.0007582306861877441,-0.0008234977722167969,0.14484916627407074,0.013822163455188274,0.013087386265397072,0.015409408137202263
trainfit128,1002_0.73_1.47.png,33.58782196044922,0.02921295166015625,-0.17618179321289062,-0.08089828491210938,-0.14696884155273438,0.066070556640625,-0.00031048059463500977,0.00024455785751342773,-0.0006694793701171875,0.10804958641529083,0.015833182260394096,0.013087386265397072,0.015409408137202263
trainfit128,1003_0.9_1.06.png,38.65223693847656,-0.35443878173828125,-0.08617401123046875,-0.3271598815917969,-0.44061279296875,0.11345291137695312,-0.0006224513053894043,0.0005500912666320801,-0.000737309455871582,0.10155312716960907,0.009373323991894722,0.013087386265397072,0.015409408137202263
trainfit128,1004_0.91_1.17.png,37.140499114990234,-0.3084449768066406,-0.10208892822265625,-0.2728691101074219,-0.4105339050292969,0.137664794921875,-0.0005937814712524414,0.0005059242248535156,-0.0006784200668334961,0.11183138936758041,0.01123181451112032,0.013087386265397072,0.015409408137202263
trainfit128,1005_0.74_1.81.png,38.30308532714844,0.030887603759765625,-0.0077362060546875,-0.061237335205078125,0.023151397705078125,-0.08438873291015625,2.586841583251953e-05,-3.88026237487793e-05,-6.175041198730469e-05,0.2641885578632355,0.009219735860824585,0.06276104599237442,0.06288459151983261
trainfit128,1006_0.89_1.55.png,37.09952926635742,0.0391845703125,-0.005588531494140625,0.037342071533203125,0.033596038818359375,0.00374603271484375,4.8041343688964844e-05,-1.7404556274414062e-05,-4.2498111724853516e-05,0.3046744763851166,0.010160733945667744,0.06276104599237442,0.06288459151983261
trainfit128,1007_0.68_1.25.png,38.78367614746094,-0.053623199462890625,-0.0771026611328125,-0.042140960693359375,-0.13072586059570312,0.08858489990234375,4.273653030395508e-05,-1.6689300537109375e-06,-2.467632293701172e-05,0.1885557919740677,0.00869210995733738,0.06276104599237442,0.06288459151983261
trainfit128,1008_0.52_1.98.png,39.091495513916016,0.039363861083984375,-0.09903717041015625,-0.12871932983398438,-0.059673309326171875,-0.0690460205078125,1.7881393432617188e-05,-2.4080276489257812e-05,-4.70280647277832e-05,0.18886955082416534,0.008125781081616879,0.06276104599237442,0.06288459151983261
trainfit128,1009_0.84_0.56.png,44.452667236328125,-0.07039642333984375,0.0845794677734375,0.24176788330078125,0.01418304443359375,0.2275848388671875,-0.00030744075775146484,0.00017726421356201172,0.0006248950958251953,0.1712237149477005,0.004787243902683258,0.048277970403432846,0.04251645877957344
