name,anchor_psnr,anchor_ssim,m_safe_mean,m_safe_p95,delta_star_abs_mean,low_delta_abs_mean,high_delta_abs_mean,color_delta_abs_mean,low_plus_color_delta_abs_mean,O_full_delta_psnr,O_full_delta_ssim,O_full_delta_delta_psnr,O_full_delta_delta_ssim,O_low_psnr,O_low_ssim,O_low_delta_psnr,O_low_delta_ssim,O_high_psnr,O_high_ssim,O_high_delta_psnr,O_high_delta_ssim,O_color_psnr,O_color_ssim,O_color_delta_psnr,O_color_delta_ssim,O_low_plus_color_psnr,O_low_plus_color_ssim,O_low_plus_color_delta_psnr,O_low_plus_color_delta_ssim
1000_0.73_1.8.png,28.284751892089844,0.9909915924072266,0.002311461605131626,0.0024726386182010174,0.0236244834959507,0.02308221161365509,0.0027484819293022156,0.004663664381951094,0.022625185549259186,28.29909324645996,0.9910229444503784,0.014341354370117188,3.135204315185547e-05,28.29845428466797,0.9910135269165039,0.013702392578125,2.193450927734375e-05,28.285388946533203,0.991001546382904,0.000637054443359375,9.953975677490234e-06,28.285297393798828,0.9909961223602295,0.000545501708984375,4.5299530029296875e-06,28.298044204711914,0.9910131692886353,0.013292312622070312,2.1576881408691406e-05
100_0.5_1.76.png,29.537744522094727,0.987687349319458,0.009178842417895794,0.009648313745856285,0.02226240746676922,0.02053658477962017,0.0050109741277992725,0.01610046997666359,0.02073005400598049,29.59612274169922,0.9878661036491394,0.05837821960449219,0.00017875432968139648,29.58987045288086,0.9878005385398865,0.05212593078613281,0.0001131892204284668,29.54387855529785,0.987752377986908,0.006134033203125,6.502866744995117e-05,29.575897216796875,0.9877443313598633,0.03815269470214844,5.698204040527344e-05,29.590618133544922,0.9878236651420593,0.05287361145019531,0.00013631582260131836
101_0.83_1.44.png,24.609098434448242,0.9706615805625916,0.3274625539779663,0.35779738426208496,0.03767487034201622,0.03762088716030121,0.0009788846364244819,0.03999999910593033,0.037649333477020264,26.59085464477539,0.9788891077041626,1.9817562103271484,0.008227527141571045,26.57613754272461,0.9784740805625916,1.9670391082763672,0.0078125,24.619335174560547,0.9710692763328552,0.010236740112304688,0.0004076957702636719,26.6178035736084,0.9785913825035095,2.0087051391601562,0.007929801940917969,26.576358795166016,0.9784674048423767,1.9672603607177734,0.007805824279785156
102_0.67_1.36.png,24.432117462158203,0.9706735014915466,0.2825479507446289,0.3057052493095398,0.03724668174982071,0.03722600266337395,0.0008380861836485565,0.03999999910593033,0.03723597154021263,26.05514907836914,0.9777710437774658,1.6230316162109375,0.0070975422859191895,26.048080444335938,0.9775635600090027,1.6159629821777344,0.006890058517456055,24.43737030029297,0.9708811640739441,0.005252838134765625,0.00020766258239746094,26.088356018066406,0.9777956008911133,1.6562385559082031,0.00712209939956665,26.04802894592285,0.9775586128234863,1.6159114837646484,0.006885111331939697
103_0.94_0.98.png,26.6489200592041,0.9777687788009644,0.23757018148899078,0.255785197019577,0.035593461245298386,0.03538583591580391,0.0016032342100515962,0.03999999910593033,0.03521766886115074,28.382959365844727,0.9830954074859619,1.734039306640625,0.005326628684997559,28.35726547241211,0.9825958013534546,1.7083454132080078,0.004827022552490234,26.66736602783203,0.9782728552818298,0.018445968627929688,0.0005040764808654785,28.41501235961914,0.9829813241958618,1.766092300415039,0.005212545394897461,28.349777221679688,0.9825813174247742,1.700857162475586,0.0048125386238098145
104_0.91_1.41.png,25.64177703857422,0.9736307859420776,0.33017414808273315,0.3610677421092987,0.03614175692200661,0.03591134399175644,0.0013835971476510167,0.03999999910593033,0.035917364060878754,27.84935188293457,0.9815386533737183,2.2075748443603516,0.007907867431640625,27.819332122802734,0.9807838797569275,2.1775550842285156,0.0071530938148498535,25.661907196044922,0.9743777513504028,0.020130157470703125,0.0007469654083251953,27.872650146484375,0.980939507484436,2.2308731079101562,0.0073087215423583984,27.8175048828125,0.9807543158531189,2.1757278442382812,0.00712352991104126
105_0.84_0.8.png,26.45225715637207,0.9836846590042114,0.017403680831193924,0.018200283870100975,0.024415774270892143,0.02401382476091385,0.0023321029730141163,0.02662571705877781,0.024534432217478752,26.533710479736328,0.9840496778488159,0.08145332336425781,0.0003650188446044922,26.531686782836914,0.9840056896209717,0.07942962646484375,0.0003210306167602539,26.454256057739258,0.983728289604187,0.0019989013671875,4.363059997558594e-05,26.533153533935547,0.9840399622917175,0.08089637756347656,0.0003553032875061035,26.533184051513672,0.9840258359909058,0.08092689514160156,0.00034117698669433594
106_0.59_1.07.png,29.951143264770508,0.989475429058075,0.017032619565725327,0.01767389103770256,0.020898934453725815,0.02044650912284851,0.002820617286488414,0.021753353998064995,0.020962849259376526,30.06242561340332,0.9897630214691162,0.1112823486328125,0.00028759241104125977,30.057510375976562,0.9896997213363647,0.10636711120605469,0.00022429227828979492,29.955957412719727,0.9895395636558533,0.00481414794921875,6.413459777832031e-05,30.056217193603516,0.9897391200065613,0.10507392883300781,0.0002636909484863281,30.061521530151367,0.9897291660308838,0.11037826538085938,0.0002537369728088379
107_0.89_1.5.png,25.931468963623047,0.9816226959228516,0.3237881660461426,0.3539015054702759,0.022654138505458832,0.021840417757630348,0.0030223054345697165,0.024993447586894035,0.022821802645921707,27.30585289001465,0.9875282049179077,1.3743839263916016,0.005905508995056152,27.253406524658203,0.9861962199211121,1.3219375610351562,0.004573523998260498,25.97446632385254,0.9830065965652466,0.04299736022949219,0.0013839006423950195,27.182662963867188,0.9866892695426941,1.2511940002441406,0.005066573619842529,27.279165267944336,0.9865902662277222,1.347696304321289,0.0049675703048706055
108_0.73_1.27.png,27.32750129699707,0.9858289957046509,0.12413206696510315,0.13165070116519928,0.023113036528229713,0.022459497675299644,0.002811813959851861,0.02401505596935749,0.02343965321779251,27.949066162109375,0.9879473447799683,0.6215648651123047,0.002118349075317383,27.925926208496094,0.9875301718711853,0.5984249114990234,0.0017011761665344238,27.34844970703125,0.9862512350082397,0.020948410034179688,0.0004222393035888672,27.885114669799805,0.9878506660461426,0.5576133728027344,0.0020216703414916992,27.942668914794922,0.9877302050590515,0.6151676177978516,0.0019012093544006348
