variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
s5_only,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
s5_only,S5_bottleneck_mid,strong,40,-0.1250089645385742,-2.207655143737793,-2.6604576110839844,0.525,0.475,easy_top25
s5_only,S5_bottleneck_mid,strong,40,0.774363374710083,-1.2570405960083009,-1.7142114639282227,0.225,0.225,hard_bottom25
s5_only,S5_bottleneck_mid,strong,80,0.6840189933776856,-1.658396339416504,-2.3249950408935547,0.325,0.3,mid_50
s5_plus_s4_mild_only,S4_final_decoder,mild,40,0.2013167381286621,-0.2515460968017578,-0.4350271224975586,0.225,0.075,hard_bottom25
s5_plus_s4_mild_only,S4_final_decoder,mild,80,0.2260876178741455,-0.3902679443359375,-0.7072381973266602,0.2375,0.15,mid_50
s5_plus_s4_mild_only,S5_bottleneck_mid,medium,40,0.10523757934570313,-1.1241851806640626,-1.3598995208740234,0.375,0.25,easy_top25
s5_plus_s4_mild_only,S5_bottleneck_mid,medium,40,0.53315110206604,-0.49620733261108396,-0.7515897750854492,0.225,0.075,hard_bottom25
s5_plus_s4_mild_only,S5_bottleneck_mid,medium,80,0.4940026760101318,-0.7673240661621094,-1.2657194137573242,0.2625,0.2125,mid_50
s5_plus_s4_mild_only,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
s5_plus_s4_mild_only,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
s5_plus_s4_mild_only,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
s5_plus_s4_mild_only,S5_bottleneck_mid,strong,40,-0.1250089645385742,-2.207655143737793,-2.6604576110839844,0.525,0.475,easy_top25
s5_plus_s4_mild_only,S5_bottleneck_mid,strong,40,0.774363374710083,-1.2570405960083009,-1.7142114639282227,0.225,0.225,hard_bottom25
s5_plus_s4_mild_only,S5_bottleneck_mid,strong,80,0.6840189933776856,-1.658396339416504,-2.3249950408935547,0.325,0.3,mid_50
s5_plus_s6_hard_only,S5_bottleneck_mid,medium,40,0.10523757934570313,-1.1241851806640626,-1.3598995208740234,0.375,0.25,easy_top25
s5_plus_s6_hard_only,S5_bottleneck_mid,medium,40,0.53315110206604,-0.49620733261108396,-0.7515897750854492,0.225,0.075,hard_bottom25
s5_plus_s6_hard_only,S5_bottleneck_mid,medium,80,0.4940026760101318,-0.7673240661621094,-1.2657194137573242,0.2625,0.2125,mid_50
s5_plus_s6_hard_only,S5_bottleneck_mid,mild,40,0.10266227722167968,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
s5_plus_s6_hard_only,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
s5_plus_s6_hard_only,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
s5_plus_s6_hard_only,S5_bottleneck_mid,strong,40,-0.1250089645385742,-2.207655143737793,-2.6604576110839844,0.525,0.475,easy_top25
s5_plus_s6_hard_only,S5_bottleneck_mid,strong,40,0.774363374710083,-1.2570405960083009,-1.7142114639282227,0.225,0.225,hard_bottom25
s5_plus_s6_hard_only,S5_bottleneck_mid,strong,80,0.6840189933776856,-1.658396339416504,-2.3249950408935547,0.325,0.3,mid_50
s5_plus_s6_hard_only,S6_early_mid_final,medium,40,0.46861815452575684,-0.5797734260559082,-1.010331153869629,0.275,0.2,hard_bottom25
s5_plus_s6_hard_only,S6_early_mid_final,mild,40,0.2762734413146973,-0.20273904800415038,-0.41211795806884766,0.225,0.05,hard_bottom25
s5_plus_s6_hard_only,S6_early_mid_final,strong,40,0.5404457569122314,-1.4966443061828614,-2.248326301574707,0.325,0.325,hard_bottom25
